id,assists,backgroundColor,competicion,competitionLogo,faseCompeticion,fecha,goals,kitManufacturer,kitNumber,kitSleeve,localCrest,localTeam,marcadorLocal,marcadorVisitante,minutos,playerKit,rating,tarjetaAmarilla,tarjetaRoja,visitCrest,visitTeam
352,1,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,Final,2024-05-30,0,Adidas,"1a equipación","Manga corta",dortmund,Dortmund,0,2,86,RMA_2324_first_ss,8.6,0,0,rma,"Real Madrid"
353,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 38",2024-05-25,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",0,0,87,RMA_2324_first_ss,7.6,0,0,betis,"Real Betis"
402,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 37",2024-05-19,0,Adidas,"1a equipación","Manga corta",villarreal,Villarreal,4,4,0,RMA_2324_first_ss_bench,0,0,0,rma,"Real Madrid"
403,1,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 36",2024-05-14,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",5,0,72,RMA_2324_first_ss,8.2,0,0,alaves,"Deportivo Alaves"
404,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 35",2024-05-14,0,Adidas,"2a equipación","Manga corta",granada,Granada,0,4,20,RMA_2324_second_ss,6.8,0,0,rma,"Real Madrid"
405,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"SF (vuelta)",2024-05-08,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,1,69,RMA_2324_first_ss,8.2,0,0,bayern,"Bayern München"
406,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 34",2024-05-04,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",3,0,0,RMA_2324_first_ss_bench,0,0,0,cadiz,Cadiz
407,1,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"SF (ida)",2024-04-30,0,Adidas,"2a equipación","Manga corta",bayern,"Bayern München",2,2,76,RMA_2324_second_ss,8.4,1,0,rma,"Real Madrid"
408,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 33",2024-04-26,0,Adidas,"2a equipación","Manga corta",real-sociedad,"Real Sociedad",0,1,0,RMA_2324_second_ss_bench,0,0,0,rma,"Real Madrid"
409,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 32",2024-04-21,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",3,2,71,RMA_2324_first_ss,6.5,0,0,barcelona,Barcelona
410,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"QF (vuelta)",2024-04-17,0,Adidas,"2a equipación","Manga corta",Manchtuu,"Manchester City",1,1,79,RMA_2324_second_ss,7.1,0,0,rma,"Real Madrid"
411,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 31",2024-04-13,0,Adidas,"1a equipación","Manga corta",mallorca,Mallorca,0,1,0,RMA_2324_first_ss_bench,0,0,0,rma,"Real Madrid"
412,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"QF (ida)",2024-04-09,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",3,3,72,RMA_2324_first_ss,6.3,0,0,Manchtuu,"Manchester City"
413,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 30",2024-03-31,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,0,81,RMA_2324_first_ss,7.8,0,0,athletic,Athletic
452,0,"linear-gradient(270deg, #00008B 0%, #FFD700 100%)","Amistoso Naciones",world,"Amistoso 2",2024-03-26,0,Adidas,"1a equipación","Manga corta",ger,Alemania,2,0,90,GER_2324_first_ss,8,0,0,hol,"Países Bajos"
453,1,"linear-gradient(270deg, #00008B 0%, #FFD700 100%)","Amistoso Naciones",world,"Amistoso 1",2024-03-23,0,Adidas,"2a equipación","Manga corta",fra,Francia,0,2,89,GER_2324_second_ss,8,0,0,ger,Alemania
454,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 29",2024-03-16,0,Adidas,"1a equipación","Manga corta",osasuna,Osasuna,2,4,77,RMA_2324_first_ss,7.7,0,0,rma,"Real Madrid"
455,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 28",2024-03-10,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",4,0,7,RMA_2324_first_ss,5,0,0,celta,"Celta Vigo"
456,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Round 16 (vuelta)",2024-03-06,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",1,1,78,RMA_2324_first_ss,7.6,1,0,leipzig,"RB Leipzig"
457,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 27",2024-03-02,0,Adidas,"2a equipación","Manga corta",valencia,Valencia,2,2,63,RMA_2324_second_ss,6.8,0,0,rma,"Real Madrid"
458,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 26",2024-02-25,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",1,0,90,RMA_2324_first_ss,8.3,1,0,sevilla,Sevilla
459,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 25",2024-02-18,0,Adidas,"2a equipación","Manga corta",rayo,"Rayo Vallecano",1,1,20,RMA_2324_second_ss,6.9,0,0,rma,"Real Madrid"
460,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Round 16 (ida)",2024-02-13,0,Adidas,"3a equipación","Manga corta",leipzig,"RB Leipzig",0,1,90,RMA_2324_third_ss,7.8,0,0,rma,"Real Madrid"
461,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 24",2024-02-10,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",4,0,70,RMA_2324_first_ss,7.8,0,0,girona,Girona
462,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 23",2024-02-04,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",1,1,90,RMA_2324_first_ss,7.8,0,0,atletico,"Atletico Madrid"
